ebird_scientific_name,ebird_common_name,birdlife_v4_2010_scientific_name
Mentrocrex beankaensis,Tsingy Wood-Rail,Canirallus kioloides
Rallus indicus,Brown-cheeked Rail,Rallus aquaticus
Rallus tenuirostris,Aztec Rail,Rallus longirostris
Hapalocrex flaviventer,Yellow-breasted Crake,
Rallus crepitans,Clapper Rail,Porzana flaviventer
Aramides cajaneus,Gray-cowled Wood-Rail,Aramides cajanea
Rallus obsoletus,Ridgway's Rail,Rallus longirostris
Gallinula galeata,Common Gallinule,Gallinula chloropus
Chrysocolaptes guttacristatus,Greater Flameback,Chrysocolaptes lucidus
Chrysocolaptes xanthocephalus,Yellow-faced Flameback,Chrysocolaptes lucidus
Picus sharpei,Iberian Green Woodpecker,Picus viridis
Celeus galeatus,Helmeted Woodpecker,Dryocopus galeatus
Chrysocolaptes haematribon,Luzon Flameback,Chrysocolaptes lucidus
Chloropicus goertae,African Gray Woodpecker,Mesopicos goertae
Dryobates cathpharius,Crimson-breasted Woodpecker,Dendrocopos cathpharius
Celeus ochraceus,Ochre-backed Woodpecker,Celeus flavescens
Chrysophlegma mentale,Checker-throated Woodpecker,Picus mentalis
Dendrocopos analis,Freckle-breasted Woodpecker,Dendrocopos macei
Chrysophlegma miniaceum,Banded Woodpecker,Picus mineaceus
Chloropicus stierlingi,Stierling's Woodpecker,Dendropicos stierlingi
Chloropicus elliotii,Elliot's Woodpecker,Mesopicos elliotii
Dinopium psarodes,Red-backed Flameback,Dinopium benghalense
Chloropicus elachus,Little Gray Woodpecker,Dendropicos elachus
Chrysocolaptes stricklandi,Crimson-backed Flameback,Chrysocolaptes lucidus
Aulacorhynchus albivitta,Southern Emerald-Toucanet,Aulacorhynchus prasinus
Psilopogon duvaucelii,Blue-eared Barbet,Megalaima australis
Psilopogon zeylanicus,Brown-headed Barbet,Megalaima zeylanica
Psilopogon rubricapillus,Crimson-fronted Barbet,Megalaima rubricapillus
Caloramphus hayii,Sooty Barbet,Calorhamphus fuliginosus
Psilopogon australis,Little Barbet,Megalaima australis
Psilopogon franklinii,Golden-throated Barbet,Megalaima franklinii
Psilopogon oorti,Black-browed Barbet,Megalaima oorti
Psilopogon malabaricus,Malabar Barbet,Megalaima rubricapillus
Psilopogon asiaticus,Blue-throated Barbet,Megalaima asiatica
Psilopogon annamensis,Indochinese Barbet,Megalaima oorti
Microcarbo pygmaeus,Pygmy Cormorant,Phalacrocorax pygmeus
Pternistis castaneicollis,Chestnut-naped Francolin,Francolinus castaneicollis
Bambusicola sonorivox,Taiwan Bamboo-Partridge,Bambusicola thoracicus
Margaroperdix madagarensis,Madagascar Partridge,Margaroperdix madagascariensis
Scleroptila psilolaema,Moorland Francolin,Francolinus psilolaemus
Falcipennis canadensis,Spruce Grouse,Dendragapus canadensis
Gallus lafayettii,Sri Lanka Junglefowl,Gallus lafayetii
Synoicus chinensis,Blue-breasted Quail,Coturnix chinensis
Synoicus adansonii,Blue Quail,Coturnix ypsilophora
Ortalis araucuan,East Brazilian Chachalaca,Ortalis guttata
Ortalis columbiana,Colombian Chachalaca,Ortalis guttata
Ortalis squamata,Scaled Chachalaca,Ortalis guttata
Chlamydotis macqueenii,Macqueen's Bustard,Chlamydotis undulata
Melanitta deglandi,White-winged Scoter,Melanitta fusca
Oxyura ferruginea,Andean Duck,Oxyura jamaicensis
Melanitta stejnegeri,Stejneger's Scoter,Melanitta fusca
Melanitta americana,Black Scoter,Melanitta nigra
Anas zonorhyncha,Eastern Spot-billed Duck,Anas poecilorhyncha
Sarkidiornis sylvicola,Comb Duck,Sarkidiornis melanotos
Hierococcyx bocki,Dark Hawk-Cuckoo,Cuculus sparverioides
Hierococcyx fugax,Malaysian Hawk-Cuckoo,Cuculus fugax
Hierococcyx nisicolor,Hodgson's Hawk-Cuckoo,Cuculus fugax
Hierococcyx pectoralis,Philippine Hawk-Cuckoo,Cuculus fugax
Surniculus musschenbroeki,Moluccan Drongo-Cuckoo,Surniculus lugubris
Hierococcyx sparverioides,Large Hawk-Cuckoo,Cuculus sparverioides
Hierococcyx hyperythrus,Northern Hawk-Cuckoo,Cuculus fugax
Cacomantis pallidus,Pallid Cuckoo,Cuculus pallidus
Ceuthmochares australis,Green Malkoha,Ceuthmochares aereus
Surniculus dicruroides,Fork-tailed Drongo-Cuckoo,Surniculus lugubris
Megascops roraimae,Foothill Screech-Owl,Megascops roboratus
Strix hadorami,Desert Owl,Strix butleri
Megascops centralis,Choco Screech-Owl,Megascops roboratus
Ptilopsis leucotis,Northern White-faced Owl,Otus leucotis
Bubo scandiacus,Snowy Owl,Bubo scandiaca
Strix nivicolum,Himalayan Owl,Strix aluco
Otus nigrorum,Negros Scops-Owl,Otus megalotis
Otus everetti,Everett's Scops-Owl,Otus megalotis
Ninox japonica,Northern Boobook,Ninox scutulata
Glaucidium castanotum,Chestnut-backed Owlet,Glaucidium castanonotum
Ninox rumseyi,Cebu Boobook,Ninox philippensis
Glaucidium nana,Austral Pygmy-Owl,Glaucidium nanum
Ninox randi,Chocolate Boobook,Ninox scutulata
Phodilus assimilis,Sri Lanka Bay-Owl,Phodilus badius
Leptoptilos crumenifer,Marabou Stork,Leptoptilos crumeniferus
Geotrygon leucometopia,White-fronted Quail-Dove,Geotrygon caniceps
