common_name,scientific_name,alternative_common_names,alternative_scientific_names
Common Ostrich,Struthio camelus,,
Somali Ostrich,Struthio molybdophanes,,
,Struthio camelus,Autruche,
Greater Rhea,Rhea americana,"Common Rhea, Avestruz, �and�, �and� Com�n",
Lesser Rhea,Rhea pennata,,
Puna Rhea,Rhea tarapacensis,,
,Rhea pennata,"Avestruz de Magallanes, Darwin's Rhea, �and� Petizo, �and� Cordillerano",
,Rhea nana,Dwarf Rhea,
,Pterocnemia tarapacensis,,
Tawny-breasted Tinamou,Nothocercus julius,,
Highland Tinamou,Nothocercus bonapartei,,
Hooded Tinamou,Nothocercus nigrocapillus,,
Grey Tinamou,Tinamus tao,Gray Tinamou,
Solitary Tinamou,Tinamus solitarius,"Tinamu Macuco, Tinamu Grande, Macuco",
Black Tinamou,Tinamus osgoodi,,
Great Tinamou,Tinamus major,,
White-throated Tinamou,Tinamus guttatus,,
Berlepsch's Tinamou,Crypturellus berlepschi,,
Cinereous Tinamou,Crypturellus cinereus,,
Tepui Tinamou,Crypturellus ptaritepui,Tepu� Tinamou,
Little Tinamou,Crypturellus soui,,
Brown Tinamou,Crypturellus obsoletus,,
Undulated Tinamou,Crypturellus undulatus,,
Brazilian Tinamou,Crypturellus strigulosus,,
Grey-legged Tinamou,Crypturellus duidae,Gray-legged Tinamou,
Red-legged Tinamou,Crypturellus erythropus,,
Yellow-legged Tinamou,Crypturellus noctivagus,,
Black-capped Tinamou,Crypturellus atrocapillus,,
Western Thicket Tinamou,Crypturellus occidentalis,,
Eastern Thicket Tinamou,Crypturellus cinnamomeus,,
Pale-browed Tinamou,Crypturellus transfasciatus,,
Slaty-breasted Tinamou,Crypturellus boucardi,,
Choco Tinamou,Crypturellus kerriae,Choc� Tinamou,
Variegated Tinamou,Crypturellus variegatus,,
Rusty Tinamou,Crypturellus brevirostris,,
Bartlett's Tinamou,Crypturellus bartletti,,
Barred Tinamou,Crypturellus casiquiare,,
Small-billed Tinamou,Crypturellus parvirostris,,
Tataupa Tinamou,Crypturellus tataupa,,
,Crypturellus idoneus,Santa Marta Tinamou,
,Crypturellus columbianus,Colombian Tinamou,
,Crypturellus saltuarius,Magdalena Tinamou,
,Crypturellus cinnamomeus,,
,Crypturellus erythropus,,
Red-winged Tinamou,Rhynchotus rufescens,,
Huayco Tinamou,Rhynchotus maculicollis,,
,Rhynchotus rufescens,,
Taczanowski's Tinamou,Nothoprocta taczanowskii,,
Ornate Tinamou,Nothoprocta ornata,,
Chilean Tinamou,Nothoprocta perdicaria,,
Brushland Tinamou,Nothoprocta cinerascens,,
Andean Tinamou,Nothoprocta pentlandii,,
Curve-billed Tinamou,Nothoprocta curvirostris,,
,Nothoprocta kalinowskii,Kalinowski's Tinamou,
White-bellied Nothura,Nothura boraquira,,
Lesser Nothura,Nothura minor,,
Darwin's Nothura,Nothura darwinii,,
Spotted Nothura,Nothura maculosa,,
,Nothura maculosa,,
,Nothura chacoensis,Chaco Nothura,
Dwarf Tinamou,Taoniscus nanus,,
Elegant Crested Tinamou,Eudromia elegans,Elegant Crested-Tinamou,
Quebracho Crested Tinamou,Eudromia formosa,Quebracho Crested-Tinamou,
Puna Tinamou,Tinamotis pentlandii,,
Patagonian Tinamou,Tinamotis ingoufi,,
Southern Cassowary,Casuarius casuarius,,
Dwarf Cassowary,Casuarius bennetti,,
Northern Cassowary,Casuarius unappendiculatus,,
Common Emu,Dromaius novaehollandiae,,
King Island Emu,Dromaius minor,,Dromaius ater
Kangaroo Island Emu,Dromaius baudinianus,,
,Dromaius novaehollandiae,Emu,
Great Spotted Kiwi,Apteryx haastii,"Roroa, Roa",
Little Spotted Kiwi,Apteryx owenii,Kiwi pukupuku,
Northern Brown Kiwi,Apteryx mantelli,Brown kiwi,
Southern Brown Kiwi,Apteryx australis,Tokoeka,
Okarito Kiwi,Apteryx rowi,"Okarito Brown Kiwi, Rowi",
