system_index,city_calcuated_area,city_lc_area,city_lc_bare,city_lc_closed_forest_deciduous_broadleaf,city_lc_closed_forest_deciduous_needle,city_lc_closed_forest_evergreen_broadleaf,city_lc_closed_forest_evergreen_needle,city_lc_closed_forest_forest_mixed,city_lc_closed_forest_forest_other,city_lc_closed_forest_forest_total,city_lc_cultivated,city_lc_herbaceous_vegetation,city_lc_herbaceous_wetland,city_lc_moss_and_lichen,city_lc_ocean,city_lc_open_forest_deciduous_broadleaf,city_lc_open_forest_deciduous_needle,city_lc_open_forest_evergreen_broadleaf,city_lc_open_forest_evergreen_needle,city_lc_open_forest_forest_mixed,city_lc_open_forest_forest_other,city_lc_open_forest_forest_total,city_lc_permanent_water,city_lc_shrubs,city_lc_snow,city_lc_unknown,city_lc_urban,city_name,city_pc_bare,city_pc_closed_forest_deciduous_broadleaf,city_pc_closed_forest_deciduous_needle,city_pc_closed_forest_evergreen_broadleaf,city_pc_closed_forest_evergreen_needle,city_pc_closed_forest_forest_mixed,city_pc_closed_forest_forest_other,city_pc_closed_forest_forest_total,city_pc_cultivated,city_pc_herbaceous_vegetation,city_pc_herbaceous_wetland,city_pc_moss_and_lichen,city_pc_ocean,city_pc_open_forest_deciduous_broadleaf,city_pc_open_forest_deciduous_needle,city_pc_open_forest_evergreen_broadleaf,city_pc_open_forest_evergreen_needle,city_pc_open_forest_forest_mixed,city_pc_open_forest_forest_other,city_pc_open_forest_forest_total,city_pc_permanent_water,city_pc_shrubs,city_pc_snow,city_pc_unknown,city_pc_urban,pop_2015,region_calcuated_area,region_lc_area,region_lc_bare,region_lc_closed_forest_deciduous_broadleaf,region_lc_closed_forest_deciduous_needle,region_lc_closed_forest_evergreen_broadleaf,region_lc_closed_forest_evergreen_needle,region_lc_closed_forest_forest_mixed,region_lc_closed_forest_forest_other,region_lc_closed_forest_forest_total,region_lc_cultivated,region_lc_herbaceous_vegetation,region_lc_herbaceous_wetland,region_lc_moss_and_lichen,region_lc_ocean,region_lc_open_forest_deciduous_broadleaf,region_lc_open_forest_deciduous_needle,region_lc_open_forest_evergreen_broadleaf,region_lc_open_forest_evergreen_needle,region_lc_open_forest_forest_mixed,region_lc_open_forest_forest_other,region_lc_open_forest_forest_total,region_lc_permanent_water,region_lc_shrubs,region_lc_snow,region_lc_unknown,region_lc_urban,region_pc_bare,region_pc_closed_forest_deciduous_broadleaf,region_pc_closed_forest_deciduous_needle,region_pc_closed_forest_evergreen_broadleaf,region_pc_closed_forest_evergreen_needle,region_pc_closed_forest_forest_mixed,region_pc_closed_forest_forest_other,region_pc_closed_forest_forest_total,region_pc_cultivated,region_pc_herbaceous_vegetation,region_pc_herbaceous_wetland,region_pc_moss_and_lichen,region_pc_ocean,region_pc_open_forest_deciduous_broadleaf,region_pc_open_forest_deciduous_needle,region_pc_open_forest_evergreen_broadleaf,region_pc_open_forest_evergreen_needle,region_pc_open_forest_forest_mixed,region_pc_open_forest_forest_other,region_pc_open_forest_forest_total,region_pc_permanent_water,region_pc_shrubs,region_pc_snow,region_pc_unknown,region_pc_urban,geo
00000000000000000000,42405.44826174094,52501.67450980396,23.0,484.0,0,0,0,0,105.0,589.0,2854.7254901960796,1170.7333333333333,1289.1607843137256,0,1733.5568627450975,19.0,0,0,0,11.8078431372549,3489.247058823529,3520.0549019607843,765.0039215686276,1012.172549019608,0,0,39544.26666666671,Maputo,4.3808126530716783E-4,0.00921875358298562,0.0,0.0,0.0,0.0,0.0019999362111848967,0.011218689794170516,0.054373989341292325,0.022298971304519348,0.024554660329414685,0.0,0.03301907756144768,3.6189321916679085E-4,0.0,0.0,0.0,2.2490412443987762E-4,0.06645972897820546,0.06704652632181213,0.01457103851850999,0.01927886221668223,0.0,0.0,0.753200103346844,2430921.885572,4006402.4093787293,4959798.392156863,2057.850980392157,262860.03137254907,0,36368.57647058824,0,509.0,129068.45098039215,428806.05882352946,546484.4392156865,244772.7215686274,121078.4274509804,0,1418511.949019608,94725.8470588235,0,2.0,0,3178.2392156862743,1457861.9607843142,1555768.047058824,33835.925490196074,551646.1490196078,0,0,56836.82352941179,4.1490617514742596E-4,0.052998128268322495,0.0,0.007332672337669893,0.0,1.0262513911954629E-4,0.02602292286406107,0.086456348609173,0.11018279292962095,0.04935134499734844,0.024411965543286354,0.0,0.2860019373494617,0.01909872933718787,0.0,4.032421969333842E-7,0.0,6.408000818565846E-4,0.29393572994613903,0.31367566260738045,0.00682203646497048,0.11122350253025386,0.0,0.0,0.011459502793357538,
00000000000000000001,48989.893090513346,68368.05490196083,516.721568627451,0,0,0,44.01176470588236,0,126.59607843137255,170.60784313725492,15479.501960784333,3341.3490196078405,18.599999999999998,0,1198.250980392156,0,0,0,66.30196078431374,0,931.4196078431372,997.721568627451,161.72156862745098,2017.1058823529395,0,0,44466.47450980393,Tel Aviv,0.007557938709363972,0.0,0.0,0.0,6.437475041376389E-4,0.0,0.0018516846590547322,0.002495432163192371,0.22641425126079423,0.048872957178601975,2.720568842666685E-4,0.0,0.017526474639514567,0.0,0.0,0.0,9.697798318145827E-4,0.0,0.01362360841154227,0.014593388243356853,0.002365455165564652,0.02950363126822097,0.0,0.0,0.6503984144871234,2410967.95335,4188213.6368733183,5842988.776470587,555534.5882352939,145.0,0,0,15347.439215686274,567.0,12633.988235294117,28693.42745098039,969896.9960784314,949223.3411764705,1434.3607843137256,0,2380971.2274509794,0,0,0,7405.043137254902,16.0,83942.52156862745,91363.56470588235,137894.41960784316,388400.19215686276,0,14.0,339562.6588235295,0.09507712738939408,2.481606683618964E-5,0.0,0.0,0.002626641912695369,9.703937859392776E-5,0.0021622475617564993,0.0049107449198819856,0.1659933012338063,0.1624551026007347,2.4548409028095727E-4,0.0,0.4074920076928827,0.0,0.0,0.0,0.0012673382442688623,2.7383246164071324E-6,0.0143663670734162,0.01563644364230147,0.023599980229833204,0.06647286295002486,0.0,2.396034039356241E-6,0.058114549216820466,
00000000000000000002,26540.521246381766,38621.77647058825,239.7921568627451,0,0,0,2221.584313725488,0,607.7803921568626,2829.3647058823503,387.3843137254902,1152.5098039215684,2.0,0,6627.568627450978,0,0,0,961.7372549019607,0,1348.9529411764715,2310.690196078432,431.6117647058824,1073.729411764707,0,0,23567.125490196097,Beirut,0.00620872934328525,0.0,0.0,0.0,0.05752154656628229,0.0,0.015736728024918982,0.07325827459120127,0.010030204437139137,0.029840931962289263,5.178425703755666E-5,0.0,0.17160185866898403,0.0,0.0,0.0,0.02490142460521864,0.0,0.03492726291872523,0.059828687523943866,0.011175347281981421,0.027801139923804053,0.0,0.0,0.6102030420103342,2463343.024797,4242043.244070697,6178340.831372547,207227.07450980393,1210.286274509804,0,0,98319.36862745098,947.0,32750.129411764698,133226.78431372548,922520.34117647,921182.435294118,1085.0,0,3053929.886274508,242.0,0,0,53700.53725490197,1.0,170726.02745098041,224669.5647058824,12071.45882352941,444389.0274509804,0,0,258039.25882352947,0.03354089393345551,1.958917948268861E-4,0.0,0.0,0.01591355532349433,1.5327739693338018E-4,0.005300796816754621,0.021563521332009217,0.14931522335123876,0.14909867558884302,1.7561349067868795E-4,0.0,0.49429611761901837,3.916909193017741E-5,0.0,0.0,0.008691740828252775,1.618557517775926E-7,0.027632989521080346,0.036364061297015075,0.001953835042934606,0.07192692011979165,0.0,0.0,0.04176513822501515,
00000000000000000003,74831.83951472075,80863.3843137255,11740.588235294143,0,0,0,0,0,122.0,122.0,7459.549019607836,1271.345098039216,108.37647058823529,0,0,0,0,0,0,0,191.23529411764707,191.23529411764707,3048.8588235294114,453.2941176470587,0,0,56468.13725490196,Khartoum,0.1451904138682127,0.0,0.0,0.0,0.0,0.0,0.0015087174626117162,0.0015087174626117162,0.09224878581221681,0.01572213565916041,0.0013402415878089808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002364918259860506,0.002364918259860506,0.03770382416472653,0.005605678286830223,0.0,0.0,0.6983152848985722,5842495.385232,4394252.363804651,4747945.650980391,3471309.509803921,1.0,0,0,0,3.0,889.0,893.0,650780.3450980393,489602.43529411784,30803.86666666667,0,0,28.0,0,0,0,0,4335.745098039216,4363.745098039216,31790.678431372547,25112.18431372549,0,0,43289.8862745098,0.7311182066894847,2.1061740666587298E-7,0.0,0.0,0.0,6.318522199976189E-7,1.8723887452596109E-4,1.8808134415262457E-4,0.1370656685936709,0.10311879521894299,0.006487830512614663,0.0,0.0,5.897287386644444E-6,0.0,0.0,0.0,0.0,9.131833885132909E-4,9.190806758999354E-4,0.006695670247364389,0.005289063135872279,0.0,0.0,0.009117603581997825,
00000000000000000004,33824.18798727078,48751.749019607916,500.8509803921568,0,0,0,0,0,19.0,19.0,16002.61176470593,3264.9921568627465,0,0,0,0,0,0,17.0,0,383.02745098039213,400.02745098039213,0,560.3450980392157,0,0,28003.921568627477,Damascus,0.010273497678836403,0.0,0.0,0.0,0.0,0.0,3.897296072876937E-4,3.897296072876937E-4,0.3282469262440142,0.06697179532060622,0.0,0.0,0.0,0.0,0.0,0.0,3.487054380995154E-4,0.0,0.007856691476368135,0.008205396914467651,0.0,0.011493846052863566,0.0,0.0,0.5744188081819244,2724168.02063,3980121.7562779696,5738297.294117646,1733398.1372549026,1147.0627450980392,0,0,84028.45490196078,891.7529411764706,25694.60392156862,111761.8745098039,1419992.9607843123,1218692.682352941,840.6901960784313,0,416669.23137254897,242.0,0,0,45541.23921568628,1.0,133432.80000000002,179217.0392156863,27608.62352941176,372963.0980392157,0,33.0,257119.9568627451,0.3020753454220325,1.9989601205812362E-4,0.0,0.0,0.014643447454020676,1.554037540178705E-4,0.004477740103829802,0.01947648732392647,0.24745893912466915,0.212378798080439,1.4650516572925327E-4,0.0,0.07261199795271646,4.217278882501875E-5,0.0,0.0,0.007936368034185123,1.7426772241743285E-7,0.023253030151780835,0.031231745242513397,0.004811291941550934,0.06499542964104384,0.0,5.750834839775284E-6,0.044807709270539176,
00000000000000000005,55076.47370511557,76704.76078431374,3929.121568627443,0,0,0,0.8745098039215686,0,0,0.8745098039215686,9960.360784313747,12623.215686274518,0,0,0,0,0,0,49.76470588235294,0,226.63921568627455,276.4039215686275,4.0,1250.9921568627453,0,0,48659.79215686274,Amman,0.051223959614133306,0.0,0.0,0.0,1.140098469742451E-5,0.0,0.0,1.140098469742451E-5,0.12985322791529597,0.16456886844051,0.0,0.0,0.0,0.0,0.0,0.0,6.487824924229464E-4,0.0,0.00295469555434195,0.0036034780467648964,5.214800175503588E-5,0.01630918529790364,0.0,0.0,0.6343777316989399,3680235.563292,4296617.870516186,5988370.980392159,2377148.333333334,7.298039215686274,0,0,5895.921568627451,79.0,7511.062745098039,13493.282352941176,1566442.3372549023,1118197.654901961,1410.0549019607843,0,26184.443137254922,0,0,0,4677.803921568628,20.0,70496.0431372549,75193.84705882354,143511.7725490196,351168.968627451,0,72.0,315548.28627450985,0.39696076631138544,1.2187019207030406E-6,0.0,0.0,9.845618429340105E-4,1.3192235460807499E-5,0.001254274788534588,0.002253247568850109,0.26158071074486455,0.18672818677454983,2.3546552252319618E-4,0.0,0.0043725485984404035,0.0,0.0,0.0,7.811479844661016E-4,3.3398064457740502E-6,0.01177215696356847,0.012556644754480347,0.023965077150183752,0.058641819248889296,0.0,1.202330320478658E-5,0.05269351002262816,
00000000000000000006,29433.723792762776,45314.207843137345,194.21176470588236,0,0,0,0,0,0,0,14931.372549019681,5049.172549019605,0,0,0,0,0,0,3.0,0,14.0,17.0,0,120.33725490196079,0,0,25002.11372549021,Aleppo,0.004285891201677378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32950752666155186,0.11142581519902442,0.0,0.0,0.0,0.0,0.0,0.0,6.62044012859057E-5,0.0,3.089538726675599E-4,3.751582739534656E-4,0.0,0.0026556186377245782,0.0,0.0,0.5517499900260682,2111289.573975,3944556.6236377596,6073179.741176467,45956.16470588235,62527.776470588244,0,0,208372.0901960785,11370.023529411765,57467.44705882353,339737.33725490206,3770911.913725486,787747.4980392157,2181.1450980392156,0,78940.74509803928,106.0,0,0,80411.17647058824,0,131998.23137254902,212515.40784313728,104673.0392156863,538998.1215686274,0,0,191518.36862745098,0.007567068103434716,0.010295723020783782,0.0,0.0,0.03431021294879602,0.001872169771680299,0.009462497325608743,0.05594060306686885,0.6209122855624561,0.12970923496603395,3.5914384078754346E-4,0.0,0.012998256014525145,1.74537893685765E-5,0.0,0.0,0.013240374877330959,0.0,0.021734616296236766,0.034992444962936305,0.017235294141880533,0.08875056305582277,0.0,0.0,0.03153510628525395,
00000000000000000007,52682.13600343478,52782.53725490194,0,0,0,4.188235294117646,0,0,96.41176470588235,100.6,4661.596078431382,1797.1137254901935,376.08235294117605,0,0,0,0,37.10980392156863,0,0,5438.662745098039,5475.772549019607,168.57254901960783,2278.0784313725494,0,0,37924.72156862742,Kampala,0.0,0.0,0.0,7.934888150396149E-5,0.0,0.0,0.0018265845054072035,0.001905933386911165,0.08831701393813647,0.03404750546210802,0.007125128356845883,0.0,0.0,0.0,0.0,7.030697244119734E-4,0.0,0.0,0.1030390547319312,0.10374212445634318,0.003193718183828922,0.04315969920830176,0.0,0.0,0.7185088770075246,3483005.768181,4247269.218937814,4257282.59607843,1.0,1203.0,0,140984.85098039216,0,0,117088.00392156864,259275.85490196082,972794.8549019604,107510.44313725492,178935.03529411758,0,0,45.0,0,20500.901960784315,0,0,1010972.4823529411,1031518.3843137254,1393530.5725490192,269543.84705882357,0,0,44172.60392156862,2.3489161863982058E-7,2.825746172237042E-4,0.0,0.033116159850478215,0.0,0.0,0.02750299076444292,0.060901725232144835,0.22850135807241087,0.0252533020091942,0.042030340071608704,0.0,0.0,1.0570122838791926E-5,0.0,0.0048154900451448995,0.0,0.0,0.23746896278019977,0.24229502294818347,0.32732865181011506,0.06331359053005131,0.0,0.0,0.010375774434672939,
00000000000000000008,33725.11602693066,33817.76078431377,0,0,0,65.48627450980392,0,0,715.9999999999999,781.4862745098038,4076.4196078431264,1486.3882352941168,11.866666666666667,0,0,0,0,19.50588235294118,0,0,1656.4274509803893,1675.9333333333304,2.207843137254902,677.3725490196076,0,0,25106.086274509857,Nairobi,0.0,0.0,0.0,0.0019364462043323539,0.0,0.0,0.021172306604407515,0.02310875280873987,0.12054079020317505,0.04395288750116099,3.5090042603207997E-4,0.0,0.0,0.0,0.0,5.767940248128109E-4,0.0,0.0,0.04898099142474024,0.04955778544955305,6.52864969782092E-5,0.020030082811804743,0.0,0.0,0.742393514302556,3987711.34317,4029953.3646817086,4041187.4235294103,3734.1725490196077,4121.658823529412,0,183516.4509803921,0,0,125278.90980392159,312917.01960784313,1817047.0705882339,371657.96078431385,20278.956862745097,0,0,482.1490196078432,0,5893.823529411764,0,0,319888.65882352926,326264.6313725489,25503.188235294117,1096411.105882353,0,0,67373.31764705882,9.240285484602276E-4,0.001019912810658438,0.0,0.045411516900177876,0.0,0.0,0.031000519568703408,0.07743194927953972,0.4496319720309577,0.09196751395898455,0.005018068883584289,0.0,0.0,1.1930874989874972E-4,0.0,0.0014584385507822688,0.0,0.0,0.07915709550143839,0.0807348428021194,0.0063108155011084984,0.2713091453018508,0.0,0.0,0.01667166369339477,
00000000000000000009,53480.35287401923,61935.48627450981,12836.25490196077,0,0,0,0,0,0,0,257.1647058823529,112.94901960784313,0.7568627450980392,0,4244.917647058821,0,0,0,0,0,85.68235294117648,85.68235294117648,292.40000000000003,323.59215686274507,0,0,43781.768627451005,Jeddah,0.20725202422837302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004152138319259337,0.0018236559749806706,1.2220179264331278E-5,0.0,0.06853773018338052,0.0,0.0,0.0,0.0,0.0,0.0013834129365097104,0.0013834129365097104,0.004721041483456315,0.005224664829925179,0.0,0.0,0.706893111864851,3505094.801331,4278705.15404896,4956444.329411766,2199763.5607843157,0,0,0,0,0,338.0,338.0,40166.282352941176,35642.600000000006,175.23921568627452,0,2441626.7568627438,0,0,0,0,0,8625.011764705881,8625.011764705881,30975.043137254903,136370.57254901985,0,0,62761.26274509807,0.44381887792642377,0.0,0.0,0.0,0.0,0.0,6.819404749374318E-5,6.819404749374318E-5,0.008103850196519435,0.0071911631869837015,3.535583253631985E-5,0.0,0.49261660064938484,0.0,0.0,0.0,0.0,0.0,0.0017401611299303153,0.0017401611299303153,0.006249448410718061,0.02751379083182488,0.0,0.0,0.012662557788184947,
