"id","passerine_non_passerine","order","family_name_latin","family_name_common","taxonomy","scientific_name","common_name","diet_invertebrate","diet_vert_endo","diet_vert_ecto","diet_vert_fish","diet_vert_unknown","diet_scavenger","diet_fruit","diet_nectar","diet_seed","diet_other_plant","diet_category","diet_data_source","diet_certainty","foraging_below_water","foraging_around_surf","foraging_ground","foraging_understory","foraging_midheight","foraging_canopy","foraging_aerial","foraging_data_source","is_noctural","body_mass_value","body_mass_data_source","body_mass_spec_level","body_mass_comments","foraging_spec_level","comments","is_pelagic_specialist","bl_family_sequence_id","foraging_data_entered_by","diet_data_entered_by"
28,"Nonpasseriformes","Struthioniformes","Struthionidae","Ostriches","BL3","Struthio camelus","Ostrich",10,0,0,0,10,0,0,0,30,50,"PlantSeed","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",FALSE,111000,"Dunning08",TRUE,,TRUE,,FALSE,2,"Jessica","Jennifer"
37,"Nonpasseriformes","Rheiformes","Rheidae","Rheas","BL3","Rhea americana","Greater Rhea",20,10,10,0,0,0,20,0,20,20,"Omnivore","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",FALSE,23000,"Dunning08",TRUE,,TRUE,,FALSE,3,"Jessica","Jennifer"
38,"Nonpasseriformes","Rheiformes","Rheidae","Rheas","BL3","Rhea pennata","Lesser Rhea",20,0,0,0,10,0,0,0,30,40,"PlantSeed","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",FALSE,23900,"Dunning08",TRUE,,TRUE,,FALSE,3,"Jessica","Jennifer"
45,"Nonpasseriformes","Casuariiformes","Casuariidae","Cassowaries","BL3","Casuarius casuarius","Southern Cassowary",10,0,0,0,10,0,80,0,0,0,"FruiNect","Ref_1","A",0,0,80,20,0,0,0,"Ref_1",FALSE,44000,"Dunning08",TRUE,,TRUE,,FALSE,4,"Jessica","Jennifer"
46,"Nonpasseriformes","Casuariiformes","Casuariidae","Cassowaries","BL3","Casuarius bennetti","Dwarf Cassowary",10,0,0,0,10,0,80,0,0,0,"FruiNect","Ref_1","B",0,0,80,20,0,0,0,"Ref_1",FALSE,34999.99,"Dunning08",TRUE,,TRUE,,FALSE,4,"Jessica","Jennifer"
47,"Nonpasseriformes","Casuariiformes","Casuariidae","Cassowaries","BL3","Casuarius unappendiculatus","Northern Cassowary",20,0,0,0,10,0,60,0,0,10,"FruiNect","Ref_1","A",0,0,80,20,0,0,0,"Ref_1",FALSE,46073.85,"Dunning08",TRUE,,TRUE,,FALSE,4,"Jessica","Jennifer"
48,"Nonpasseriformes","Casuariiformes","Dromaiidae","Emus","BL3","Dromaius novaehollandiae","Emu",20,0,0,0,0,0,30,0,30,20,"Omnivore","Ref_1","A",0,0,20,80,0,0,0,"Ref_1",FALSE,34093.25,"Dunning08",TRUE,,TRUE,,FALSE,5,"Jessica","Jennifer"
55,"Nonpasseriformes","Apterygiformes","Apterygidae","Kiwis","BL3","Apteryx australis","Southern Brown Kiwi",80,0,0,0,0,0,10,0,0,10,"Invertebrate","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",TRUE,2320.51,"Dunning08",TRUE,,TRUE,,FALSE,6,"Jessica","Jennifer"
57,"Nonpasseriformes","Apterygiformes","Apterygidae","Kiwis","BL3","Apteryx owenii","Little Spotted Kiwi",80,0,0,0,0,0,10,0,0,10,"Invertebrate","Ref_1","A",0,0,80,20,0,0,0,"Ref_1",TRUE,1238.29,"Dunning08",TRUE,,TRUE,,FALSE,6,"Jessica","Jennifer"
58,"Nonpasseriformes","Apterygiformes","Apterygidae","Kiwis","BL3","Apteryx haastii","Great Spotted Kiwi",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_1","A",0,0,80,20,0,0,0,"Ref_1",TRUE,2022.68,"Dunning08",TRUE,,TRUE,,FALSE,6,"Jessica","Jennifer"
