"city_name","ebird_code","common_name","scientific_name","species_category","number_of_non_zero_frequency","longest_run_of_non_zero_frequency","smallest_precision"
"Accra","piecro1","Pied Crow","Corvus albus","species","48","48","20"
"Accra","laudov1","Laughing Dove","Streptopelia senegalensis","species","48","48","20"
"Accra","combul2","Common Bulbul","Pycnonotus barbatus","species","48","48","20"
"Accra","categr","Cattle Egret","Bubulcus ibis","species","48","48","20"
"Accra","blakit1","Black Kite","Milvus migrans","species","48","48","20"
"Accra","wesple1","Western Plantain-eater","Crinifer piscator","species","48","48","20"
"Accra","sencou1","Senegal Coucal","Centropus senegalensis","species","48","48","20"
"Accra","reedov1","Red-eyed Dove","Streptopelia semitorquata","species","48","48","20"
"Accra","yebshr1","Yellow-billed Shrike","Corvinella corvina","species","48","48","20"
"Accra","afrthr1","African Thrush","Turdus pelios","species","48","48","20"
"Accra","wookin1","Woodland Kingfisher","Halcyon senegalensis","species","48","48","20"
"Accra","grewoo2","Green Woodhoopoe","Phoeniculus purpureus","species","48","48","20"
"Accra","afghor1","African Gray Hornbill","Lophoceros nasutus","species","48","48","20"
"Accra","lotcor1","Long-tailed Cormorant","Microcarbo africanus","species","48","48","20"
"Accra","dotbar1","Double-toothed Barbet","Lybius bidentatus","species","48","48","20"
"Accra","broman1","Bronze Mannikin","Spermestes cucullata","species","48","48","20"
"Accra","litswi1","Little Swift","Apus affinis","species","48","48","20"
"Accra","senpar","Senegal Parrot","Poicephalus senegalus","species","48","48","20"
"Accra","shikra1","Shikra","Accipiter badius","species","48","48","20"
"Accra","pugsta1","Purple Starling","Lamprotornis purpureus","species","48","48","20"
"Accra","gyhspa1","Northern Gray-headed Sparrow","Passer griseus","species","48","48","20"
"Accra","piekin1","Pied Kingfisher","Ceryle rudis","species","48","48","20"
"Accra","spgsta1","Splendid Starling","Lamprotornis splendidus","species","48","48","20"
"Accra","spwlap1","Spur-winged Lapwing","Vanellus spinosus","species","48","48","20"
"Accra","rorpar","Rose-ringed Parakeet","Psittacula krameri","species","48","48","20"
"Accra","afpswi1","African Palm-Swift","Cypsiurus parvus","species","48","48","20"
"Accra","hoovul1","Hooded Vulture","Necrosyrtes monachus","species","48","48","20"
"Accra","watlap1","Wattled Lapwing","Vanellus senegallus","species","47","26","20"
"Accra","copsun2","Copper Sunbird","Cinnyris cupreus","species","48","48","20"
"Accra","vilwea1","Village Weaver","Ploceus cucullatus","species","48","48","20"
"Accra","setkne1","Senegal Thick-knee","Burhinus senegalensis","species","47","33","20"
"Accra","ethswa1","Ethiopian Swallow","Hirundo aethiopica","species","48","48","20"
"Accra","bkwsti","Black-winged Stilt","Himantopus himantopus","species","47","37","20"
"Accra","comsan","Common Sandpiper","Actitis hypoleucos","species","41","23","20"
"Accra","afrjac1","African Jacana","Actophilornis africanus","species","46","32","20"
"Accra","litegr","Little Egret","Egretta garzetta","species","46","42","20"
"Accra","squher1","Squacco Heron","Ardeola ralloides","species","45","41","20"
"Accra","rocpig","Rock Pigeon","Columba livia","species","48","48","20"
"Accra","brobab1","Brown Babbler","Turdoides plebejus","species","48","48","20"
"Accra","commoo3","Eurasian Moorhen","Gallinula chloropus","species","48","48","20"
"Accra","splsun2","Splendid Sunbird","Cinnyris coccinigastrus","species","48","48","20"
"Accra","comgon1","Yellow-crowned Gonolek","Laniarius barbarus","species","48","48","20"
"Accra","greegr","Great Egret","Ardea alba","species","44","30","20"
"Accra","werher","Western Reef-Heron","Egretta gularis","species","46","36","20"
"Accra","woosan","Wood Sandpiper","Tringa glareola","species","36","21","20"
"Accra","comgre","Common Greenshank","Tringa nebularia","species","45","25","20"
"Accra","eurkes","Eurasian Kestrel","Falco tinnunculus","species","48","48","20"
"Accra","wfwduc1","White-faced Whistling-Duck","Dendrocygna viduata","species","45","23","20"
"Accra","grbcam1","Green-backed Camaroptera","Camaroptera brachyura","species","47","46","20"
"Accra","integr","Intermediate Egret","Ardea intermedia","species","44","31","20"
"Accra","blaher1","Black Heron","Egretta ardesiaca","species","46","36","20"
"Accra","brbrol1","Broad-billed Roller","Eurystomus glaucurus","species","45","29","20"
"Accra","piapia1","Piapiac","Ptilostomus afer","species","47","39","20"
"Accra","wtbeat1","White-throated Bee-eater","Merops albicollis","species","35","26","20"
"Accra","strher","Striated Heron","Butorides striata","species","47","32","20"
"Accra","orabis1","Northern Red Bishop","Euplectes franciscanus","species","37","32","20"
"Accra","wincis3","Winding Cisticola","Cisticola marginatus","species","42","20","20"
"Accra","purher1","Purple Heron","Ardea purpurea","species","40","32","20"
"Accra","grywoo1","African Gray Woodpecker","Chloropicus goertae","species","45","23","20"
"Accra","bcnher","Black-crowned Night-Heron","Nycticorax nycticorax","species","46","24","20"
"Accra","graher1","Gray Heron","Ardea cinerea","species","45","32","20"
"Accra","afpwag1","African Pied Wagtail","Motacilla aguimp","species","42","23","20"
"Accra","ltgsta1","Long-tailed Glossy Starling","Lamprotornis caudatus","species","43","29","20"
"Accra","bswdov1","Blue-spotted Wood-Dove","Turtur afer","species","45","13","20"
"Accra","babfir1","Bar-breasted Firefinch","Lagonosticta rufopicta","species","44","36","20"
"Accra","libeat1","Little Bee-eater","Merops pusillus","species","44","22","20"
"Accra","guitur1","Guinea Turaco","Tauraco persa","species","46","18","20"
"Accra","tafpri1","Tawny-flanked Prinia","Prinia subflava","species","45","21","20"
"Accra","bbwdov1","Black-billed Wood-Dove","Turtur abyssinicus","species","45","36","20"
"Accra","blkter","Black Tern","Chlidonias niger","species","36","28","20"
"Accra","colpra","Collared Pratincole","Glareola pratincola","species","35","26","20"
"Accra","lbesta1","Lesser Blue-eared Starling","Lamprotornis chloropterus","species","44","17","20"
"Accra","zitcis1","Zitting Cisticola","Cisticola juncidis","species","35","30","20"
"Accra","mosswa2","Mosque Swallow","Cecropis senegalensis","species","45","21","20"
"Accra","whimbr","Whimbrel","Numenius phaeopus","species","40","23","20"
"Accra","norpuf1","Northern Puffback","Dryoscopus gambensis","species","38","14","20"
"Accra","vindov1","Vinaceous Dove","Streptopelia vinacea","species","44","25","20"
"Accra","malkin1","Malachite Kingfisher","Corythornis cristatus","species","44","21","20"
"Accra","corplo","Common Ringed Plover","Charadrius hiaticula","species","26","10","20"
"Accra","grykes1","Gray Kestrel","Falco ardosiaceus","species","43","26","20"
"Accra","bkskit1","Black-winged Kite","Elanus caeruleus","species","34","16","20"
"Accra","plbpip1","Plain-backed Pipit","Anthus leucophrys","species","35","21","20"
"Accra","motspi1","Mottled Spinetail","Telacanthura ussheri","species","39","13","20"
"Accra","blwbis1","Black-winged Bishop","Euplectes hordeaceus","species","36","19","20"
"Accra","afphor1","African Pied Hornbill","Lophoceros fasciatus","species","42","18","20"
"Accra","barswa","Barn Swallow","Hirundo rustica","species","33","15","20"
"Accra","senere1","Senegal Eremomela","Eremomela pusilla","species","40","27","20"
"Accra","eaywag1","Western Yellow Wagtail","Motacilla flava","species","24","10","20"
"Accra","bkctch1","Black-crowned Tchagra","Tchagra senegalus","species","38","13","20"
"Accra","marsan","Marsh Sandpiper","Tringa stagnatilis","species","26","15","20"
"Accra","btgsta1","Bronze-tailed Starling","Lamprotornis chalcurus","species","45","29","20"
"Accra","litgre1","Little Grebe","Tachybaptus ruficollis","species","36","9","20"
"Accra","dosfra2","Double-spurred Francolin","Pternistis bicalcaratus","species","29","7","20"
"Accra","yeftin1","Yellow-fronted Tinkerbird","Pogoniulus chrysoconus","species","39","15","20"
"Accra","blnwea1","Black-necked Weaver","Ploceus nigricollis","species","41","26","20"
"Accra","litter1","Little Tern","Sternula albifrons","species","30","26","20"
"Accra","blacra1","Black Crake","Zapornia flavirostra","species","32","13","20"
"Accra","levcuc1","Levaillant's Cuckoo","Clamator levaillantii","species","36","31","20"
"Accra","blbrol1","Blue-bellied Roller","Coracias cyanogaster","species","37","13","20"
